Date,Open,High,Low,Close,Adj Close,Volume
4/17/2006,42.040001,42.82,41.389999,42,36.938442,519003300
4/24/2006,41.950001,42.490002,41.5,41.849998,36.806507,501580900
5/1/2006,41.919998,42.209999,41.279999,42.16,37.079155,422084200
5/8/2006,42.080002,42.279999,40.18,40.189999,35.346565,480942600
5/15/2006,40.02,40.34,38.75,39.349998,34.607788,802188300
5/22/2006,39.009998,39.580002,38.23,39.490002,34.730919,761647800
5/29/2006,39.299999,40,38.540001,39.639999,34.862839,490893900
6/5/2006,39.560001,39.560001,37.490002,38.150002,33.552422,785924700
6/12/2006,38.200001,38.790001,37.16,38.34,33.719505,875290300
6/19/2006,38.5,38.990002,37.91,38.150002,33.575008,593020600
6/26/2006,38.169998,39.139999,37.380001,38.77,34.120636,549677900
7/3/2006,38.889999,39,37.57,37.689999,33.170158,294001000
7/10/2006,37.790001,37.93,35.790001,35.939999,31.630024,745876900
7/17/2006,35.950001,36.830002,35.540001,35.700001,31.418806,805428600
7/24/2006,35.84,37.139999,35.799999,37.110001,32.659714,539564200
7/31/2006,37.080002,37.630001,36.259998,36.950001,32.51889,486638100
8/7/2006,36.91,37.310001,36.259998,36.529999,32.149269,528501400
8/14/2006,36.84,38.98,36.700001,38.790001,34.138245,605692000
8/21/2006,38.5,38.810001,37.919998,38.32,33.724602,417341500
8/28/2006,38.290001,39.209999,38.18,39.080002,34.393463,391159900
9/4/2006,39.099998,39.48,38.360001,38.720001,34.076637,395975800
9/11/2006,38.41,40.459999,38.32,40.110001,35.299946,618475800
9/18/2006,40.119999,40.669998,39.52,39.869999,35.108913,616386300
9/25/2006,40.040001,40.950001,39.68,40.650002,35.795788,534234600
10/2/2006,40.599998,41.560001,39.880001,41.41,36.465023,539790000
10/9/2006,41.360001,42.52,41.169998,42.43,37.363224,473259600
10/16/2006,42.43,42.619999,41.59,42,36.984562,542185300
10/23/2006,41.919998,42.919998,41.82,42.209999,37.169487,615537400
10/30/2006,42.16,42.77,41.610001,41.93,36.922939,608152000
11/6/2006,42.07,43.349998,42.060001,43.029999,37.891563,627932900
11/13/2006,43.049999,44.419998,43,44.299999,39.009911,536350600
11/20/2006,44.16,44.860001,44.009998,44.650002,39.318115,296891900
11/27/2006,44.509998,44.610001,43.259998,43.66,38.446342,685306900
12/4/2006,43.790001,44.549999,43.470001,43.900002,38.657677,511422200
12/11/2006,43.830002,44.759998,43.560001,44.43,39.124393,471999200
12/18/2006,44.580002,44.75,42.93,42.93,37.849575,521148200
12/25/2006,42.93,43.610001,42.880001,43.16,38.052361,249146300
1/1/2007,43.459999,44.209999,42.52,43.849998,38.660717,443501800
1/8/2007,43.889999,45.349998,43.630001,45.310001,39.947926,627296300
1/15/2007,45.349998,45.400002,43.91,44.169998,38.942829,539407200
1/22/2007,44.209999,44.470001,43.290001,43.57,38.413849,678782500
1/29/2007,43.459999,44.400002,43.330002,44.16,38.93401,577124700
2/5/2007,44.139999,44.720001,43.639999,43.880001,38.68716,558275700
2/12/2007,43.869999,44.860001,43.59,44.709999,39.418926,536752700
2/19/2007,44.639999,45.549999,44.43,45.259998,39.903843,419304500
2/26/2007,45.48,45.5,42.240002,42.48,37.452831,1049581500
3/5/2007,42.150002,43.34,42.060001,42.93,37.849575,696914800
